,Job Title,Location,Company,Salary,No. of Reviews,Company Ratings,Job Summary
142,Cisco Voice / Network Engineer (40341),"Boca Raton, FL 33487","Geosyntec Consultants, Inc.",None,None,None,"Participate in day-to-day orders, special projects, and trouble tickets to include Move, Add, and Change requests for the data and/or voice network-related..."
143,Physician/Attending - Hospitalist - Jupiter Medical Center (...,"West Palm Beach, FL",Miami Children's Hospital,None,96 reviews,51.6,"The position is primarily a clinical position related to the diagnosis, treatment and clinical management of pediatric patients in a multidisciplinary..."
144,"Data Scientist, Identity & Linking","Alpharetta, GA 30005",Equifax,None,221 reviews,43.2,"Data Scientist, Entity Resolution and Data Linking. Developing data driven models to quantify the value of a given data set...."
145,Statistician,"Alpharetta, GA 30005",Equifax,None,221 reviews,43.2,Integrate diverse data sources into solutions. Complex data extractions from multiple platforms as required for analytical projects....
146,Mathematical Statistician,"Atlanta, GA",Centers for Disease Control and Prevention,"<nobr>$88,305 - $114,802 a year</nobr>",64 reviews,54.0,"And collecting, analyzing, and interpreting scientific data for. Design and develop mathematical statistical models, methods, and/or techniques such as sample..."
147,Principal Data Scientist BIG DATA,"Alpharetta, GA",AT&T,None,"14,312 reviews",44.4,Competitive Programmer or Competitive Data Scientist. Knowledge of scalable data visualization techniques....
148,Statistician - Risk Analytics & Remediation,"Alpharetta, GA 30005",Equifax,None,221 reviews,43.2,Knowledge of demographic and credit bureau data desirable. Utilize diverse data sources to craft solutions using various modeling techniques....
149,Senior Data Scientist,"Alpharetta, GA 30022",Verizon,None,"11,129 reviews",44.4,"Experience as a data scientist, analyst or statistical modeler. Lead &amp; manage data augmentation, clean up and data quality issue resolution...."
150,Data Scientist,"Alpharetta, GA",krg technology inc,None,None,None,Data scientist with either a Masters or PhD. Should know Machine learning....
151,Associate Research Scientist I,"Duluth, GA",Planet Pharma,None,None,None,"Statistical evaluation of analytical data. Organization of laboratory, data, and records as needed. Hands-on experience with HPLC, GC, spectroscopy (IR, Raman,..."
152,Data Scientist,"Atlanta, GA 30339",ASSURANT,None,"1,108 reviews",43.2,"In this role, the Data Scientist incorporates techniques across many disciplines – including mathematics/statistics, computer programming, data engineering,..."
153,Data Scientist-1,"Duluth, GA 30096",NCR,None,729 reviews,42.0,Strong understanding of algorithms and advanced data structures. Experience in solutions that leverage distributed processing of large data sets (e.g....
154,Statistical Modeler,"Alpharetta, GA 30005",LexisNexis,None,354 reviews,43.8,"Experience processing large data sets. Strong understanding of statistical methods applied to data analysis. The incumbent will have experience in data mining,..."
155,Sr Data Scientist,"Duluth, GA 30096",NCR,None,729 reviews,42.0,"Strong understanding of algorithms and advanced data structures. Manipulate, aggregate and derive useful information from data stored across many sources and..."
156,Data Scientist,"Atlanta, GA 30338",KPMG,None,"1,770 reviews",51.0,"KPMG is currently seeking a Data Scientist, to join our Advanced Data Analytics in our Atlanta, GA office. Eight years of professional experience working as a..."
157,Sr Data Scientist - Fraud,"Atlanta, GA 30339",ASSURANT,None,"1,108 reviews",43.2,"Data Scientist incorporates techniques across many disciplines – including mathematics/statistics, computer programming, data engineering, data management,..."
158,Data and Analytics Internship,"Alpharetta, GA 30005",Equifax,None,221 reviews,43.2,Take insights and translate into strategy using data visualization and data discovery. The Data and Analytics Intern is accountable for establishing and...
159,Big Data Technical Co Op I,"Alpharetta, GA",AT&T,None,"14,313 reviews",44.4,"As a data scientist or data engineer, you’ll use your talent for breaking down business problems into data-driven analyses that guide improvements in customer..."
160,Statistical Modeler,"Alpharetta, GA",Reed Elsevier,None,32 reviews,42.6,"Experience processing large data sets. Strong understanding of statistical methods applied to data analysis. The incumbent will have experience in data mining,..."
161,Data Scientist,"Alpharetta, GA 30005",McKesson,None,"1,513 reviews",43.2,"The Data Scientist for McKesson Data &amp; Analytics (mDNA) will be based in our Alpharetta, GA office. The Data Scientist will perform the following:...."
162,Data Scientist,"Atlanta, GA",Cox Automotive,None,42 reviews,40.8,Description Cox Automotive is hiring a Data Scientist. The Data Scientist will design and drive the creation of new standards and best practices in the use of...
163,Health Scientist (Informatics),"Atlanta, GA",Centers for Disease Control and Prevention,"<nobr>$104,349 - $135,656 a year</nobr>",64 reviews,54.0,As a Health Scientist (Informatics) you will:. Data and Information Synthesis Use relevant primary and secondary research findings to make action-oriented...
164,Statistical Data Analyst,"Atlanta, GA",Ga. Dept. of Admin. Services,"<nobr>$36,000 - $46,000 a year</nobr>",None,None,Strong data research and analysis skills for the position of Statistical Data. To determine and map source to target data and documents data cleansing rules....
165,Data Scientist,"Atlanta, GA",Feedzai,None,None,None,If you have less than 2 years of relevant professional experience after your most recent educational degree obtained please only apply to the Jr Data Scientist...
166,"Data Scientist, Natural Language Processing","Atlanta, GA 30338",KPMG,None,"1,770 reviews",51.0,"KPMG is currently seeking a Data Scientist, to join our Advanced Data Analytics team in our Atlanta, GA office...."
167,Data Scientist/ Data Analyst,"Duluth, GA 30096",CHASE Professionals,None,166 reviews,43.8,1-3 years of Data Science/Data Analytics. Our global leading client in the Self Service Kiosk industry has multiple opening for Entry to Mid Level Data...
168,HEALTH SCIENTIST,"Atlanta, GA",Centers for Disease Control and Prevention,"<nobr>$88,305 - $114,802 a year</nobr>",64 reviews,54.0,"As a Health Scientist you will:. Identify and apply analytical methods, techniques, and tools to analyze and interpret data...."
169,Analytics Data Scientist,"Atlanta, GA",Honeywell,None,"3,482 reviews",44.4,"If your answer is yes, Honeywell has an intriguing opportunity for you as data scientist. Data modeling, mining, pattern analysis, data visualization and..."
170,Senior Data Scientist,"Atlanta, GA 30303 (Five Points area)",Vesta Corporation,None,31 reviews,40.2,"Experience with data visualization is preferred. We are looking for a Senior Data Scientist in Atlanta, GA or Portland, OR to become part of our outstanding..."
171,Data Scientist,"Atlanta, GA",Travelport,None,52 reviews,51.6,"Perform Data cleansing/transformation, feature engineering, apply statistical analysis, data visualization, data mining...."
172,Big Data Technical Intern I,"Alpharetta, GA",AT&T,None,"14,313 reviews",44.4,"As a data scientist or data engineer, you’ll use your talent for breaking down business problems into data-driven analyses that guide improvements in customer..."
173,Lead Data Scientist,"Atlanta, GA 30308 (Old Fourth Ward area)",Stackfolio,"<nobr>$80,000 a year</nobr>",None,None,We are looking for a bright and experienced data scientist that has experience building web-based applications and systems to join our team as an early...
174,Professional Data Scientist BIG DATA,"Alpharetta, GA",AT&T,None,"14,313 reviews",44.4,Competitive Programmer or Competitive Data Scientist. Knowledge of scalable data visualization techniques....
175,Principal Data Scientist - Supply Chain,"Alpharetta, GA 30004",Verizon,None,"11,129 reviews",44.4,Principal Data Scientist is part of a leading-edge predictive and prescriptive analytics team responsible for....
176,Data Scientist,"Atlanta, GA",Kabbage,None,None,None,"What it takes to be a Data Scientist at Kabbage. A day in the life of a Data Scientist at Kabbage. Work with multiple, complex data sources such as financial..."
177,Sr. Data Scientist,"Alpharetta, GA 30004",Infor,None,62 reviews,42.6,"Data scientists crunch billions of rows of data on the cloud, harnessing on-demand utility computing to elastically implement algorithmic capabilities beyond..."
178,Mid/Sr Data Scientist,"Atlanta, GA",Strive Consulting LLC,None,None,None,Strive Consulting has a need for a *Mid/Senior-Level Data Scientist*. Preforming SQL queries on large data tables....
179,Research Scientist,"Atlanta, GA",CEB,None,72 reviews,40.8,"And validating assessment content, analyzing data to identify new talent. The Research Scientist (RS) is a core contributor on the Measurement...."
180,"Cloud Instructor (Big Data, Machine Learning), Google Cloud...","Atlanta, GA",Google,None,"1,219 reviews",52.8,"Python, Java) and data science (i.e. Technical experience in programming (Python/Java) and data science (statistics/ETL/machine learning)...."
181,Senior Data Scientist BIG DATA,"Alpharetta, GA",AT&T,None,"14,313 reviews",44.4,Competitive Programmer or Competitive Data Scientist. Knowledge of scalable data visualization techniques....
